"1616109660000.jpg" :{"time" :1616109660000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.120000 ,"p":1.420000 ,"v":0.860000 },"GPS":{"E":112.977882 ,"N":28.240330,"H":185.000000},"totalSats":80 ,"satellites":8,"quality":1}
"1616109661000.jpg" :{"time" :1616109661000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.120000 ,"p":1.410000 ,"v":0.860000 },"GPS":{"E":112.977905 ,"N":28.240335,"H":184.000000},"totalSats":80 ,"satellites":8,"quality":1}
"1616109663000.jpg" :{"time" :1616109663000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977898 ,"N":28.240337,"H":184.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109664000.jpg" :{"time" :1616109664000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977882 ,"N":28.240339,"H":184.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109665000.jpg" :{"time" :1616109665000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977890 ,"N":28.240334,"H":183.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109666000.jpg" :{"time" :1616109666000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977890 ,"N":28.240339,"H":183.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109667000.jpg" :{"time" :1616109667000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977921 ,"N":28.240314,"H":181.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109668000.jpg" :{"time" :1616109668000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.260000 ,"p":1.520000 ,"v":0.840000 },"GPS":{"E":112.977905 ,"N":28.240330,"H":180.000000},"totalSats":80 ,"satellites":8,"quality":1}
"1616109669000.jpg" :{"time" :1616109669000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977936 ,"N":28.240311,"H":179.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109670000.jpg" :{"time" :1616109670000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977959 ,"N":28.240295,"H":177.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109671000.jpg" :{"time" :1616109671000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977974 ,"N":28.240280,"H":175.000000},"totalSats":80 ,"satellites":9,"quality":1}
